Title,Title Type,Directors,AVG Rating,IMDB Rating,Rotten Tomato Rating,Runtime,Year,Genres,Number of IMDB Votes,IMDB Top 250,1001 Must See,Desire to see,URL
The Great Train Robbery,Short Film,Edwin S. Porter,74,7.4,,11,1903,western,6994,,Y,recent,5/30/2014
Fantomas,Mini-Series,Louis Feuillade,71,7.1,n/a,311,1913,crime,1011,,,C,
Kid Auto Races at Venice,Short Film,Henry Lehrman,56,5.6,,11,1914,comedy,1183,,,,Thu Mar 7 20:42:52 2013
Les vampires,Mini-Series,Louis Feuillade,85.5,7.1,100,399,1915,action,2378,,Y,C,
The Birth of a Nation,Feature Film,D.W. Griffith,84.5,6.9,100,165,1915,romance,12662,,Y,A,
Intolerance: Love's Struggle Throughout the Ages,Feature Film,D.W. Griffith,79,7.9,,163,1916,history,7975,,Y,,
Broken Blossoms or The Yellow Man and the Girl,Feature Film,D.W. Griffith,76,7.6,,90,1919,drama,5305,,Y,recent,10/06/2013
The Cabinet of Dr. Caligari,Feature Film,Robert Wiene,90,8,100,78,1920,horror,25900,,Y,recent,03/07/2015
Way Down East,Feature Film,D.W. Griffith,77,7.7,,145,1920,drama,2857,,Y,C,
Within Our Gates,Feature Film,Oscar Micheaux,64,6.4,,79,1920,romance,813,,Y,B,
Orphans of the Storm,Feature Film,D.W. Griffith,77,7.7,,150,1921,drama,2837,,Y,,
The Phantom Carriage,Feature Film,Victor Sjostrom,89.5,7.9,100,93,1921,horror,3788,,Y,B,
Destiny,Feature Film,Fritz Lang,82.5,7.7,88,105,1921,thriller,2546,,,B,
Nosferatu,Feature Film,F.W. Murnau,80,8,,94,1922,horror,50988,,Y,B,11/20/2013
Dr. Mabuse: The Gambler,Feature Film,Fritz Lang,84.5,7.7,92,242,1922,mystery,3597,,Y,A,
Nanook of the North,Documentary,Robert J. Flaherty,78,7.8,,79,1922,documentary,5167,,Y,B,
Foolish Wives,Feature Film,Erich Von Stroheim,72,7.2,,384,1922,drama,1260,,Y,,
Blood and Sand,Feature Film,Dorothy Arzner,87.5,7.5,100,108,1922,sport,851,,,A,
Haxan: Witchcraft Through the Ages,Feature Film,Benjamin Christensen,82,7.6,88,87,1922,documentary,5183,,Y,A,
The Smiling Madame Beudet,Feature Film,Germaine Dulac,70.5,6.9,72,54,1923,drama,709,,Y,recent,02/12/2014
Our Hospitality,Feature Film,Jack Blystone,89.5,7.9,100,117,1923,family,5104,,Y,recent,2/25/2014
Safety Last!,Feature Film,Sam Taylor,89.5,8.3,96,70,1923, thriller,9787,,,recent,09/11/2015
The Faithful Heart,Feature Film,Jean Epstein,76,7.6,,87,1923,drama,359,,,,Mon Sep 16 08:14:10 2013
The Wheel,Feature Film,Abel Gance,75,7.5,,273,1923,drama,704,,Y,B,
The Last Laugh,Feature Film,F.W. Murnau,80,8,,77,1924,drama,6459,,Y,recent,11/16/2013
Sherlock Jr.,Feature Film,Buster Keaton,82,8.2,,45,1924,comedy,15346,Y,Y,C,
The Thief of Bagdad,Feature Film,Raoul Walsh,77,7.7,,155,1924,adventure,2827,,Y,B,
The Great White Silence,Documentary,Herbert G. Ponting,67,6.7,,108,1924,documentary,207,,Y,A,
Greed,Feature Film,Erich von Stroheim,79,7.9,,140,1924,drama,5501,,Y,,
Siegfried,Feature Film,Fritz Lang,85,7.9,91,143,1924.2,frantasy,2881,,,B,3/30/2015
